Test Category,Algorithm,AWT,ATT,CPU%,Throughput
Identical Burst Times,FCFS,45.0,55.0,100.0,0.1
Identical Burst Times,SJF,45.0,55.0,100.0,0.1
Identical Burst Times,SRTF,45.0,55.0,100.0,0.1
Identical Burst Times,RR,81.0,91.0,100.0,0.1
Identical Burst Times,Priority,45.0,55.0,100.0,0.1
Identical Burst Times,HRRN,45.0,55.0,100.0,0.1
Identical Burst Times,MLFQ,63.0,73.0,100.0,0.1
Varied Burst Times,FCFS,291.8,346.7,100.0,0.02
Varied Burst Times,SJF,96.8,151.7,100.0,0.02
Varied Burst Times,SRTF,96.8,151.7,100.0,0.02
Varied Burst Times,RR,193.8,248.7,100.0,0.02
Varied Burst Times,Priority,152.4,207.3,100.0,0.02
Varied Burst Times,HRRN,148.9,203.8,100.0,0.02
Varied Burst Times,MLFQ,197.0,251.9,100.0,0.02
Skewed Priorities,FCFS,64.8,79.7,100.0,0.07
Skewed Priorities,SJF,49.7,64.6,100.0,0.07
Skewed Priorities,SRTF,49.7,64.6,100.0,0.07
Skewed Priorities,RR,95.5,110.4,100.0,0.07
Skewed Priorities,Priority,75.7,90.6,100.0,0.07
Skewed Priorities,HRRN,52.3,67.2,100.0,0.07
Skewed Priorities,MLFQ,92.5,107.4,100.0,0.07
